movie_title,year,genre,combined_rating,total_popularity
"","",(no genres listed),10.0,20
"#69 samskar colony",2022,Romance,6.3,598
"#mayalo",2023,"Comedy,Romance",7.2,100
"#moscow on the beach",2018,Comedy,3.9,10
"#wanderlust",2017,"Adventure,Comedy,Drama",5.8,15
'doc',1971,"Drama,Western",6.2,2176
'g' men,1935,"Crime,Drama,Film-Noir",7.1,4498
"'give us the olympics', said ryhmy",1952,"Adventure,Comedy,Crime",4.6,50
'minäkö isä!',1954,Comedy,5.3,50
'n saak van geloof,2011,Drama,5.1,29
'rameau's nephew' by diderot (thanx to dennis young) by wilma schoen (1974),1974,"Comedy,Mystery",6.6,134
'tis the season for love,2015,Romance,3.0,1
*batteries not included,1987,Children,6.0,7
*batteries not included,1987,Comedy,6.0,7
*batteries not included,1987,Fantasy,6.0,7
*batteries not included,1987,Sci-Fi,6.0,7
-30-,1959,Drama,6.7,453
...and the rest is history,2014,"Comedy,Crime,Drama",5.2,9
...or forever hold your peace,2001,"Comedy,Drama",7.9,31
...yahaan,2005,"Drama,Romance,War",7.4,1241
00 schneider - jagd auf nihil baxter,1994,Comedy,7.95,2722
00 schneider - jagd auf nihil baxter,1994,Crime,7.95,2722
0010: the sharks make contact - part 2,2019,"Animation,Comedy,Sci-Fi",6.0,28
007 1/2 no carnaval,1966,"Comedy,Crime,Musical",5.8,46
091 policía al habla,1960,"Crime,Drama",6.0,130
1 2 3,2003,Comedy,4.9,16
"1 dead man, 6 suspects, $65 million",2018,Mystery,2.8,13
1 nighter,2012,"Adventure,Comedy,Music",6.8,92
1 p.m.,1971,Documentary,6.0,235
1 time,2019,Crime,5.8,12
1 versus 100,2019,"Mystery,Thriller",6.8,49
10,1979,Comedy,7.0,4
10,1979,Romance,7.0,4
10 cloverfield lane,2016,Thriller,10.0,14
10 days in watts,2023,Documentary,8.5,8
"10 drawings for projection, 1989-2011",2011,Animation,6.0,10
"10,000 days",2014,Sci-Fi,2.7,870
10/10,2011,Drama,7.6,26
100 days to live,2019,"Crime,Thriller",5.2,4435
100 meters,2016,"Biography,Comedy,Drama",7.5,7195
100 women,2002,"Comedy,Romance",4.9,2724
10000 hours,2013,"Action,Drama,Thriller",6.0,81
1001-ci qastrol,1974,"Comedy,Musical",6.4,15
100volta,2009,"Action,Adventure,Comedy",3.8,64
101 dalmatians (one hundred and one dalmatians),1961,Adventure,3.0,44
101 dalmatians (one hundred and one dalmatians),1961,Animation,3.0,44
101 dalmatians (one hundred and one dalmatians),1961,Children,3.0,44
101 dalmatians ii: patch's london adventure,2003,Animation,5.0,1
101 dalmatians ii: patch's london adventure,2003,Children,5.0,1
10: the secret mission,2017,"Action,Adventure,Crime",4.3,121
10:18,1995,\N,3.4,10
10th & wolf,2006,Crime,9.0,1
10th & wolf,2006,Drama,9.0,1
10th & wolf,2006,Thriller,9.0,1
10th gear jettride: 3800 miles to a cure,2009,Documentary,7.9,10
110% honest,2019,"Comedy,Drama",4.9,91
12 + 1,1969,"Adventure,Comedy",5.8,725
12 angry men,1997,Crime,10.0,58
12 angry men,1997,Drama,10.0,58
12 chairs,1971,Adventure,9.0,2
12 chairs,1971,Comedy,9.0,2
12 chairs,1976,Adventure,10.0,2
12 chairs,1976,Comedy,10.0,2
12 rounds,2009,Action,6.0,3
12 rounds,2009,Thriller,6.0,3
12 steps to recovery,2023,"Drama,Romance",9.3,35
127 millones libres de impuestos,1981,Comedy,6.1,58
12:06 rumah kucing,2017,Horror,3.6,30
12th & delaware,2010,"Documentary,Drama",7.3,614
13 east street,1952,Thriller,5.8,194
13 ghosts,1960,Horror,5.5,7778
13 tzameti,2005,Film-Noir,9.0,1
13 tzameti,2005,Thriller,9.0,1
"13th warrior, the",1999,Action,8.0,26
"13th warrior, the",1999,Adventure,8.0,26
"13th warrior, the",1999,Fantasy,8.0,26
14 apples,2018,Documentary,6.3,80
14 days to feel better,2024,Comedy,5.1,250
15 bajo la lona,1959,Comedy,4.9,34
15 lads,2011,"Drama,History,Romance",6.0,29
15 months in may,1997,Drama,6.8,19
15 till midnight,2010,"Drama,Mystery,Sci-Fi",2.8,315
1521: the quest for love and freedom,2023,"Action,Drama,History",5.5,70
17 a mezzanotte,2014,"Comedy,Fantasy,Horror",5.1,40
17 again,2009,Comedy,7.0,10
17 again,2009,Drama,7.0,10
17 and under,1997,Drama,6.7,46
18 shades of dust,1999,"Crime,Drama",4.4,217
18 swirling riders,1977,Action,4.8,80
18% grey,2020,Drama,5.7,270
180° south,2010,"Documentary,Drama,Sport",7.5,3255
187 (one eight seven),1997,Drama,4.0,3
187 (one eight seven),1997,Thriller,4.0,3
19 months,2002,"Comedy,Romance",4.6,187
1900 (novecento),1976,Drama,9.0,1
1900 (novecento),1976,War,9.0,1
1948,1998,Documentary,6.1,17
1976: o ano da invasão corinthiana,2016,Documentary,8.8,16
1982: anbarasin kaadhal,2023,"Romance,Thriller",3.6,149
1985 - vad hände katten i råttans år?,1985,\N,5.6,9
1993,2017,Horror,3.6,18
1:1.6 an ode to lost love,2005,Drama,6.7,21
1nite,2004,Drama,6.9,20
2 aces and a dirty heart,2017,Crime,4.1,22
2 band radio,2019,Comedy,5.9,19
2 days in new york,2012,Comedy,5.0,1
2 dialects 1 harmony creative mood,2015,Documentary,6.8,10
2 fast 2 furious,2003,"Action,Crime,Thriller",5.9,308811
"2 fast 2 furious (fast and the furious 2, the)",2003,Action,6.0,19
"2 fast 2 furious (fast and the furious 2, the)",2003,Crime,6.0,19
"2 fast 2 furious (fast and the furious 2, the)",2003,Thriller,6.0,19
2 in the bush: a love story,2018,"Comedy,Drama,Romance",4.6,907
2 jacks,2012,"Comedy,Drama",4.5,426
2 little indians,2013,"Comedy,Family",7.7,34
"2 little, 2 late",1999,"Comedy,Drama",7.7,59
20 dates,1998,Comedy,6.8,1808
20 dates,1998,Romance,6.8,1808
20 days in tibet,2012,Documentary,7.0,18
20 feet from stardom (twenty feet from stardom),2013,Documentary,9.0,2
20 fingers,2004,Drama,6.7,498
20 million miles to earth,1957,Sci-Fi,10.0,1
"20,000 leagues under the sea",1954,Adventure,4.0,19
"20,000 leagues under the sea",1954,Drama,4.0,19
"20,000 leagues under the sea",1954,Sci-Fi,4.0,19
2010: the year we make contact,1984,Sci-Fi,4.0,17
2014 fear of the year,2014,Horror,6.5,15
2016 global citizen,2016,Music,3.4,12
2021 oscar nominated short films: documentary,2021,Talk-Show,6.5,24
2046,2004,Drama,9.0,7
2046,2004,Fantasy,9.0,7
2046,2004,Romance,9.0,7
2046,2004,Sci-Fi,9.0,7
2048: nowhere to run,2017,Sci-Fi,7.0,1
2048: nowhere to run,2017,Thriller,7.0,1
21,2008,Crime,6.0,18
21,2008,Drama,6.0,18
21,2008,Romance,6.0,18
21,2008,Thriller,6.0,18
21 and over,2013,Comedy,6.0,4
21 ways to ruin a marriage,2013,Comedy,6.2,2158
213 - the gang project,2012,Documentary,6.8,13
21:37,2009,Drama,7.2,11
"22 iyunya, rovno v 4 chasa",1992,"Drama,War",5.8,34
23 hours,2000,"Action,Thriller",8.0,46
24 hour party people,2002,Comedy,6.0,7
24 hour party people,2002,Drama,6.0,7
24 hour party people,2002,Musical,6.0,7
24 stunden aus dem leben einer frau,1931,Drama,6.7,36
24th street,2009,"Crime,Drama,Horror",3.9,93
2550,2024,Documentary,8.2,64
27 b beadon street,2014,Drama,7.8,7
27 missing kisses,2000,"Comedy,Drama,Romance",6.6,1560
"27, memory lane",2014,"Drama,Fantasy,Romance",7.6,43
28 up,1985,Documentary,8.0,3
28½,2020,Drama,7.0,64
2:22,2017,"Drama,Mystery,Romance",5.7,26458
3,2012,"Drama,Mystery,Romance",7.4,6781
3 américas,2007,Drama,6.0,75
3 dev adam (three giant men),1973,Action,1.0,1
3 dev adam (three giant men),1973,Adventure,1.0,1
3 dev adam (three giant men),1973,Sci-Fi,1.0,1
3 extremes (three... extremes) (saam gaang yi),2004,Horror,8.0,3
3 gante 30 dina 30 second,2018,Romance,6.2,26
3 geezers!,2013,Comedy,3.3,800
3 keys,2021,Comedy,7.6,21
3 needles,2005,Drama,6.3,1402
3 ninjas kick back,1994,Action,4.0,2
3 ninjas kick back,1994,Children,4.0,2
3 ninjas kick back,1994,Comedy,4.0,2
3 peas in a pod,2013,Drama,7.0,50
3 weeks after paradise,2002,Documentary,5.3,17
"3, 2, 1... frankie go boom",2012,Comedy,5.9,5263
30 ghosts,2013,Documentary,7.0,8
30 nights,2018,Comedy,4.9,311
"30, still single: contemplating suicide",1998,Comedy,7.5,59
300,2007,Action,6.0,80
300,2007,Fantasy,6.0,80
300,2007,War,6.0,80
300,2007,IMAX,6.0,80
31st october,2015,"Action,Drama,History",5.8,302
33.333: the odyssey of nikos kazantzakis,2016,Documentary,8.3,7
35 up,1991,Documentary,8.0,3
36-24-36,2024,Romance,6.1,204
37,2010,Drama,5.7,12
37: a final promise,2014,"Mystery,Romance,Thriller",5.8,211
3801 lancaster: american tragedy,2015,"Crime,Documentary,Drama",6.2,413
3:10 to yuma,1957,Action,8.0,26
3:10 to yuma,1957,Adventure,8.0,26
3:10 to yuma,1957,Drama,8.0,26
3:10 to yuma,1957,Thriller,8.0,26
3:10 to yuma,1957,Western,8.0,26
3d print masters,2019,"Biography,Documentary",7.8,7
4 maras,2012,Drama,6.2,15
40 days and 40 nights,2002,Comedy,8.0,18
40 days and 40 nights,2002,Romance,8.0,18
40 pounds of trouble,1962,Comedy,6.3,1197
42,2013,Drama,8.0,1
42 - 66 le origini del male,2017,Horror,4.7,36
420,2004,Comedy,7.7,91
42nd street,1986,Musical,8.7,22
43,2015,Documentary,5.0,38
438 days,2019,"Drama,Thriller",6.7,3664
45rpm,2013,Comedy,7.2,122
49 days 2,2017,"Comedy,Drama,Romance",4.7,12
49 up,2005,Documentary,8.0,2
