movie_title,year,combined_rating,total_popularity
"20,000 leagues under the sea",1954,4.0,19
9/11,2002,10.0,1
a one-way trip to antibes,2011,6.1,798
a royal affair,1949,5.2,26
a thousand and one erotic nights part ii: the forbidden tales,1988,5.1,134
abacaxi azul,1944,6.3,9
action no.1,2004,8.7,8
ai weiwei: without fear or favour,2010,7.4,46
al-hijab,2011,6.1,64
albatross,2011,5.0,1
alumbramiento,2024,6.5,65
always be my maybe,2016,6.5,451
amansizlar,1982,5.7,10
amazon adventure,2017,6.2,155
american girl,2023,7.8,101
and your mother too (y tu mamá también),2001,8.0,21
anthologie des scènes interdites érotiques et pornographiques de josé bénazéraf,1975,6.1,21
asiapol secret service,1966,6.2,62
assault girls,2009,3.8,1357
"atomic submarine, the",1959,6.0,1
attack of the crab monsters,1957,6.0,1
awlad harim karim (the children of karim's ladies),2023,4.0,197
back home tomorrow,2008,7.6,10
"bacon, le film",2001,7.1,17
bakasuran,2023,6.2,1325
band of robbers,2015,6.0,4612
bangin' vengeance!,2011,4.3,47
barstool cowboy,2009,5.0,61
batman: under the red hood,2010,7.0,3
beata,1965,6.3,39
"before, now & then",2022,6.6,727
belladonna of sadness,1973,7.0,1
bilyah wa demaghuh el-alyah,2000,4.4,649
black butterflies,2011,6.1,2386
black conflux,2019,5.9,207
black february,2018,7.0,8
bloody moon,1981,5.2,2976
boomerang,2001,7.4,1785
brennan,2016,7.3,79
buhera mátrix,2007,6.1,491
bully,2011,7.0,9
carol,2015,8.0,1
casa dell'amore... la polizia interviene,1978,4.4,42
caveman,1981,3.0,3
chicken curry law,2019,4.5,203
children of the lake,2009,4.1,31
chinese ink,2016,5.8,9
chovek na pavazha,1987,6.4,19
christmas down under,2021,4.3,939
chûshingura,1910,5.6,29
"crime of father amaro, the (crimen del padre amaro, el)",2002,9.0,1
croisière érotique pour couples complaisants,1977,4.6,10
crushed,2009,3.9,576
dangerous cargo,1954,5.4,146
dangerous ground,1934,5.6,73
dead dead full dead,2024,6.6,14
death visits the living,1988,6.7,32
deha,2007,6.5,91
destry rides again,1939,8.0,2
devudulanti manishi,1975,4.1,16
diary of a maniac,1993,6.3,322
die vier musketiere,1934,1.7,21
dolce vita africana,2008,6.6,48
dominium,2013,4.8,112
don't tell her,2016,5.0,555
duck soup,1933,10.0,23
easier said than done,2013,7.4,47
eclipse,1982,4.2,6
eksi bir,2017,5.7,114
"el fascista, la beata y su hija desvirgada",1979,4.6,81
el rey del masaje,1985,5.6,7
emmanuel's gift,2005,7.6,208
endless,2020,4.9,1612
erasmus: not everything is fun,2016,3.5,125
escenario móvil,2004,8.2,31
exorcist ii: the heretic,1977,3.9,29523
ext. car. night,2024,5.0,79
fangs,1981,5.4,134
ferdinand,2017,3.0,1
flame and women,1967,6.8,259
freed 'em and weep,1929,4.8,10
"friends, lovers, & lunatics",1989,4.1,151
gabrielle roy,1998,6.2,20
glitter,2001,1.0,1
goal! the dream begins (goal!),2005,7.0,2
going sane,1987,4.9,28
good girl lola,2020,5.3,13
gunnar goes comfortable,2003,6.7,110
hair,1979,6.0,3
hanuman da' damdaar,2017,5.3,280
harnessing the sun,1981,9.1,15
hate story,2012,5.3,4100
hatim tai,1967,3.1,28
haunters,2014,5.4,43
high sierra,1941,9.0,3
hillock haunting,2024,3.1,92
"hommes, femmes, mode d'emploi",1996,6.1,770
house ii: the second story,1987,8.0,4
house of the damned,1999,4.4,29
how it all went down,2003,4.0,362
how the grinch stole christmas!,1966,7.0,11
hurricane bianca,2016,5.8,6809
i hate toronto: a love story,2012,3.3,359
