tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000630,movie,Hamlet,Amleto,0,1908,\N,\N,Drama,3.2,33
tt0000675,movie,Don Quijote,Don Quijote,0,1908,\N,\N,Drama,4.3,23
tt0000862,movie,Faldgruben,Faldgruben,0,1909,\N,\N,\N,4.5,19
tt0000941,movie,Locura de amor,Locura de amor,0,1909,\N,45,Drama,4.6,30
tt0001112,movie,Hamlet,Amleto,0,1910,\N,\N,Drama,3.9,53
tt0001348,movie,Orientalsk dans,Orientalsk dans,0,1910,\N,\N,\N,4.0,13
tt0001531,movie,"Captain Starlight, or Gentleman of the Road","Captain Starlight, or Gentleman of the Road",0,1911,\N,\N,\N,4.6,16
tt0001706,movie,The Infant at Snakeville,The Infant at Snakeville,0,1911,\N,\N,\N,5.0,20
tt0001790,movie,"Les Misérables, Part 1: Jean Valjean",Les misérables - Époque 1: Jean Valjean,0,1913,\N,60,Drama,6.0,59
tt0001812,movie,Oedipus Rex,Oedipus Rex,0,1911,\N,56,Drama,5.6,16
tt0001911,movie,Nell Gwynne,Sweet Nell of Old Drury,0,1911,\N,50,"Biography,Drama,History",3.7,26
tt0002026,movie,Anny - Story of a Prostitute,Anny - en gatepiges roman,0,1912,\N,68,"Drama,Romance",4.6,17
tt0002152,movie,Dødskysset,Dødskysset,0,1915,\N,\N,Drama,4.5,9
tt0002375,movie,La mort du duc d'Enghien,La mort du duc d'Enghien,0,1912,\N,\N,\N,5.4,14
tt0002423,movie,Passion,Madame DuBarry,0,1919,\N,113,"Biography,Drama,Romance",6.6,1066
tt0002588,movie,Zigomar contre Nick Carter,Zigomar contre Nick Carter,0,1912,\N,48,"Crime,Thriller",6.0,55
tt0002591,movie,Zu spät,Zu spät,0,1913,\N,\N,\N,6.3,11
tt0002669,movie,The Battle of Gettysburg,The Battle of Gettysburg,0,1913,\N,48,"Drama,War",6.6,42
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,Fantômas I: À l'ombre de la guillotine,0,1913,\N,54,"Crime,Drama",6.9,2616
tt0002885,movie,From Dusk to Dawn,From Dusk to Dawn,0,1913,\N,90,Drama,5.9,114
tt0003037,movie,Fantomas: The Man in Black,Fantômas II: Juve contre Fantômas,0,1913,\N,61,"Crime,Drama",6.9,1778
tt0003131,movie,War Is Hell,Maudite soit la guerre,0,1914,\N,50,"Drama,War",6.6,201
tt0003150,movie,Miraklet,Miraklet,0,1913,\N,100,Drama,7.3,18
tt0003241,movie,One Hundred Years of Mormonism,One Hundred Years of Mormonism,0,1913,\N,90,"Drama,History",5.0,22
tt0003330,movie,The Life of Richard Wagner,Richard Wagner,0,1913,\N,110,"Biography,Drama,History",6.2,130
tt0003351,movie,Sapho,Sapho,0,1913,\N,\N,Drama,4.5,17
tt0003565,movie,Where Is Coletti?,Wo ist Coletti?,0,1913,\N,86,"Comedy,Crime",6.3,53
tt0003668,movie,Beating Back,Beating Back,0,1914,\N,60,"Adventure,Biography,Western",5.9,26
tt0003675,movie,The Beloved Adventurer,The Beloved Adventurer,0,1914,\N,450,Adventure,6.6,24
tt0003689,movie,Born Again,Born Again,0,1914,\N,\N,Drama,4.6,17
tt0003752,movie,Captain Swift,Captain Swift,0,1914,\N,\N,Drama,5.7,17
tt0003816,movie,Damon and Pythias,Damon and Pythias,0,1914,\N,100,Drama,6.3,49
